Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance
Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm
,10 K,,50 K,,100 K,,150 K,,150 K,,160 K,,170 K,,180 K,,190 K,,200 K
-21000.41796875,-22.137,-21000.384765625,-33.42228,-21000.39453125,-47.5732,-21000.15234375,-65.90642,-21000.318359375,-66.06859,-21000.36328125,-71.31734,-21000.294921875,-75.74565,-21000.109375,-80.09346,-21000.251953125,-85.82738,-21000.44921875,-88.97484
-20000.3125,-22.14832,-20000.322265625,-33.53292,-20000.2578125,-47.68302,-20000.357421875,-66.10804,-20000.345703125,-66.11823,-20000.30078125,-71.50103,-20000.412109375,-75.9035,-20000.333984375,-80.4339,-20000.3671875,-85.85801,-20000.19140625,-88.90926
-20000.3125,-22.15241,-20000.3125,-33.5457,-20000.24609375,-47.70148,-20000.2890625,-66.08224,-20000.345703125,-66.14658,-20000.345703125,-71.52786,-20000.390625,-75.93652,-20000.3125,-80.41655,-20000.37890625,-85.88107,-20000.1796875,-88.91315
-20000.333984375,-22.15729,-20000.3125,-33.53717,-20000.2578125,-47.71639,-20000.37890625,-66.05385,-20000.3125,-66.14812,-20000.333984375,-71.53745,-20000.400390625,-75.97961,-20000.357421875,-80.46976,-20000.333984375,-85.85703,-20000.1796875,-88.93425
-20000.322265625,-22.1617,-20000.322265625,-33.53458,-20000.2578125,-47.72334,-20000.3125,-66.05294,-20000.3125,-66.1614,-20000.3125,-71.55266,-20000.390625,-75.99371,-20000.322265625,-80.54238,-20000.357421875,-85.89075,-20000.19140625,-89.00176
-19000.384765625,-22.19406,-19000.328125,-33.52972,-19000.31640625,-47.80526,-19000.361328125,-66.19923,-19000.39453125,-66.25215,-19000.349609375,-71.68823,-19000.439453125,-76.23396,-19000.37109375,-80.70848,-19000.40625,-86.21856,-19000.37109375,-89.40914
-19000.37109375,-22.19908,-19000.31640625,-33.53006,-19000.31640625,-47.81822,-19000.37109375,-66.22613,-19000.384765625,-66.26477,-19000.384765625,-71.72374,-19000.439453125,-76.28432,-19000.40625,-80.73184,-19000.439453125,-86.22565,-19000.39453125,-89.43732
-19000.361328125,-22.20414,-19000.349609375,-33.53796,-19000.31640625,-47.84051,-19000.349609375,-66.25217,-19000.39453125,-66.30853,-19000.33984375,-71.74097,-19000.427734375,-76.31837,-19000.39453125,-80.74244,-19000.384765625,-86.23985,-19000.361328125,-89.47141
-19000.39453125,-22.20764,-19000.349609375,-33.5365,-19000.349609375,-47.86198,-19000.39453125,-66.26561,-19000.384765625,-66.32505,-19000.349609375,-71.77404,-19000.439453125,-76.35698,-19000.384765625,-80.84591,-19000.427734375,-86.3019,-19000.349609375,-89.40624
-18000.34375,-22.22405,-18000.322265625,-33.54437,-18000.30078125,-47.8954,-18000.212890625,-66.44579,-18000.24609375,-66.40247,-18000.224609375,-71.93724,-18000.279296875,-76.50902,-18000.376953125,-81.08102,-18000.3984375,-86.65428,-18000.2578125,-89.75658
-18000.333984375,-22.2303,-18000.34375,-33.55855,-18000.279296875,-47.90984,-18000.212890625,-66.48905,-18000.234375,-66.41304,-18000.19140625,-71.98627,-18000.267578125,-76.53451,-18000.3984375,-81.12514,-18000.388671875,-86.68163,-18000.279296875,-89.7725
-18000.35546875,-22.23877,-18000.35546875,-33.55586,-18000.2890625,-47.91402,-18000.212890625,-66.50143,-18000.234375,-66.43042,-18000.234375,-72.02081,-18000.279296875,-76.54726,-18000.421875,-81.14913,-18000.421875,-86.67376,-18000.19140625,-89.80807
-18000.34375,-22.24062,-18000.322265625,-33.55905,-18000.279296875,-47.91436,-18000.212890625,-66.50169,-18000.212890625,-66.46822,-18000.203125,-72.02035,-18000.2578125,-76.54783,-18000.388671875,-81.16742,-18000.376953125,-86.66806,-18000.2578125,-89.82668
-17000.404296875,-22.30555,-17000.328125,-33.56273,-17000.28515625,-47.93291,-17000.37109375,-66.58051,-17000.26171875,-66.49255,-17000.349609375,-72.15495,-17000.2734375,-76.81207,-17000.2734375,-81.26252,-17000.251953125,-86.98685,-17000.28515625,-90.22004
-17000.3828125,-22.31018,-17000.33984375,-33.57005,-17000.306640625,-47.93989,-17000.361328125,-66.58757,-17000.20703125,-66.50064,-17000.349609375,-72.17159,-17000.2734375,-76.83154,-17000.294921875,-81.30971,-17000.28515625,-86.9778,-17000.26171875,-90.24316
-17000.3828125,-22.32159,-17000.33984375,-33.55474,-17000.28515625,-47.95733,-17000.349609375,-66.61159,-17000.26171875,-66.52802,-17000.349609375,-72.16738,-17000.33984375,-76.86083,-17000.26171875,-81.33842,-17000.2734375,-86.97028,-17000.28515625,-90.32751
-17000.39453125,-22.31636,-17000.306640625,-33.56317,-17000.306640625,-47.98027,-17000.404296875,-66.65569,-17000.23046875,-66.53481,-17000.3828125,-72.19527,-17000.294921875,-76.85309,-17000.2734375,-81.28706,-17000.2734375,-87.02183,-17000.26171875,-90.32133
-16000.30078125,-22.24838,-16000.22265625,-33.5704,-16000.22265625,-47.95546,-16000.267578125,-66.74776,-16000.267578125,-66.59294,-16000.2333984375,-72.32486,-16000.333984375,-76.86325,-16000.201171875,-81.44851,-16000.35546875,-87.19713,-16000.333984375,-90.49948
-16000.30078125,-22.25406,-16000.267578125,-33.58072,-16000.2451171875,-47.9682,-16000.2900390625,-66.77106,-16000.267578125,-66.63618,-16000.2119140625,-72.37016,-16000.3662109375,-76.88675,-16000.2451171875,-81.47985,-16000.3779296875,-87.2281,-16000.3232421875,-90.56773
